business_code,name,tci_classification,official_classification,city_name,supplier_code,supplier_name
HO10730,Harivihar,budget,3str,Kozhikode (Calicut),DR11154,Harivihar
HO10847,The Westin,first-class,5str,Gurgaon,DR10802,The Westin
HO11006,Syna Tiger Resort,moderate,5str,Bandhavgarh,DR11283,Syna Tiger Resort
HO11493,The Gordon House,moderate,4str,Mumbai,DR12229,The Gordon House
HO10380,Sawai Madhopur Lodge - IHCL SeleQtions,first-class,3str,Ranthambore,DR10402,Sawai Madhopur Lodge - IHCL SeleQtions
HO10488,Regenta Resort Vanya Mahal,moderate,3str,Ranthambore,DR10960,Regenta Resort Vanya Mahal
HO11191,Shahpura Barliyas House,budget,1str,Udaipur (RJ),DR11195,Shahpura Barliyas House
HO11941,Kairali -The Ayurvedic Healing Village,budget,1str,,DR11538,Kairali -The Ayurvedic Healing Village
HO11234,Mallige Residency,budget,4str,Hassan,DR11395,Mallige Residency
HO11010,MGM Vailankanni Residency,moderate,3str,Velankanni,DR11301,MGM Vailankanni Residency
HO10468,The Oberoi Amarvilas,lux,5str,Agra,DR10177,The Oberoi Amarvilas
HO11402,Cygnett Lite Grand,budget,1str,Jaipur,DR12008,Cygnett Lite Grand
HO10210,Denissons,moderate,5str,Hubballi (Hubli),DR10715,Denissons
HO12268,Hotel Srinagar,budget,standard-hotel,Palpa,DR12655,Hotel Srinagar
HO10028,Poppy's,lux,3str,Madurai,DR10166,Poppy's
HO11169,Abbotsford,moderate,1str,Nainital,DR11544,Abbotsford
HO12072,Vedaaranya Haveli,budget,1str,Ramgarh (RJ),DR11538,Vedaaranya Haveli
HO10527,Jasmin Home,moderate,3str,Jaisalmer,DR10321,Jasmin Home
HO10185,Cardamom County,first-class,4str,Thekkady (Periyar/Kumily),DR10674,Cardamom County
HO12173,Rashmi Guest House,budget,3str,,DR11538,Rashmi Guest House
HO11923,Ramada,budget,4str,Alappuzha (Alleppey),DR11538,Ramada
HO10408,Karohi Haveli,moderate,3str,Udaipur (RJ),DR10124,Karohi Haveli
HO11461,Wada 1,budget,1str,Aihole,DR12038,Wada 1
HO11983,Banyan Tree,budget,1str,,DR11538,Banyan Tree
HO11523,Zone Connect By The Park,budget,4str,Udaipur (RJ),DR12317,Zone Connect By The Park
HO11419,Aaram Baagh,budget,4str,Pushkar,DR11890,Aaram Baagh
HO12194,Punnamada Resorts (Houseboat),houseboat-first-class,1str,Alappuzha (Alleppey),DR10249,Punnamada Resorts (Houseboat)
HO11501,Marvel cruise,houseboat-moderate,houseboat-platinum,Alappuzha (Alleppey),DR10847,Marvel cruise
HO11895,Anantya By The Lake,moderate,4str,Kanyakumari,DR12378,Anantya By The Lake
HO10697,Sarovar Portico Naraina,budget,3str,New Delhi,DR11069,Sarovar Portico Naraina
HO10891,Manama,budget,2str,Mumbai,DR10841,Manama
HO11823,The Park,budget,5str,Hyderabad,DR11538,The Park
HO10084,Wildernest,budget,home-stay,,DR10298,Wildernest
HO11760,Mandrem Beach Resort,budget,4str,,DR11538,Mandrem Beach Resort
HO10007,Ekaa Villa,moderate,home-stay,Agra,DR10099,Ekaa Villa
HO11390,Nazri Resort,moderate,3str,Goa,DR10570,Nazri Resort
HO10824,Sonaar Haveli,moderate,3str,Jaisalmer,DR11160,Sonaar Haveli
HO11982,The Lalita Grand,moderate,4str,Mathura,DR12648,The Lalita Grand
HO10552,Dev Niwas,moderate,2str,Bundi,DR11037,Dev Niwas
HO10733,Sandal Suites,moderate,4str,Noida,DR11136,Sandal Suites
HO10437,Taj Lake Palace,lux,5str,Udaipur (RJ),DR10213,Taj Lake Palace
HO11151,Renest,budget,1str,Haridwar,DR11547,Renest
HO12300,Club Mahindra,moderate,5str,Jaisalmer,DR12756,Club Mahindra
HO11696,Aashyana Lakhanpal,budget,1str,,DR11538,Aashyana Lakhanpal
HO10701,Taj Mahal,lux,5str,Lucknow,DR10629,Taj Mahal
HO10684,Taj Madikeri Resort & Spa,first-class,5str,Coorg (Kodagu),DR11083,Taj Madikeri Resort & Spa
HO12322,Mementos By ITC,first-class,1str,Jaipur,DR12738,Mementos By ITC
HO11682,MPT Holiday Homes Amarkantak,budget,1str,Panna,DR11538,MPT Holiday Homes Amarkantak
HO10351,Achrol Niwas,budget,3str,Jaipur,DR10858,Achrol Niwas
HO10751,Hilton Garden Inn,moderate,5str,Thiruvananthapuram (Trivandrum),DR10837,Hilton Garden Inn
HO10546,Kanha Jungle Camp,moderate,1str,Kanha,DR10577,Kanha Jungle Camp
HO10218,Pai Vista,budget,3str,Mysuru (Mysore),DR10552,Pai Vista
HO11435,Chandelao Garh,moderate,3str,Jodhpur,DR10331,Chandelao Garh
HO10023,The Coral Court,budget,1str,Agra,DR10199,The Coral Court
HO11937,Banons Resorts,moderate,3str,Manali,DR12582,Banons Resorts
HO10103,Intercontinental,first-class,5str,Jaipur,DR10247,Intercontinental
HO11535,Chez Lavania,moderate,1str,Udaipur (RJ),DR12235,Chez Lavania
HO10384,The Gordon House,moderate,4str,Mumbai,DR10483,The Gordon House
HO10617,White Water Cruise-3BRH,houseboat-moderate,houseboat-silver,Alappuzha (Alleppey),DR10006,White Water Cruise-3BRH
HO11860,Blue Wings Homestay,budget,home-stay,,DR11538,Blue Wings Homestay
HO12212,Jagat,budget,4str,Udaipur (RJ),DR12411,Jagat
HO10186,ITC Grand Central,first-class,5str,Mumbai,DR10420,ITC Grand Central
HO12036,Gulaab Niwaas Palace,budget,3str,,DR11538,Gulaab Niwaas Palace
HO10479,Palais De Mahe,first-class,3str,Puducherry (Pondicherry),DR10926,Palais De Mahe
HO10039,Meraden Grand,budget,3str,Varanasi,DR10173,Meraden Grand
HO12240,Hyatt Centric,moderate,5str,Kathmandu,DR12655,Hyatt Centric
HO11109,Fortune Park Panchwati,moderate,3str,Kolkata,DR11363,Fortune Park Panchwati
HO10369,Diggi Palace,moderate,4str,Jaipur,DR10258,Diggi Palace
HO10524,Saraca,first-class,5str,Lucknow,DR10628,Saraca
HO10489,Ajit Bhawan,first-class,5str,Jodhpur,DR10329,Ajit Bhawan
HO10326,Trident,first-class,5str,Gurgaon,DR10806,Trident
HO11447,City Inn,moderate,3str,Varanasi,DR10206,City Inn
HO11684,Fortune Inn Heritage Walk,budget,1str,Amritsar,DR11538,Fortune Inn Heritage Walk
HO12150,Golden Fern Resorts,budget,4str,Shimla,DR11538,Golden Fern Resorts
HO10944,WelcomHeritage Balsamand Lake Palace,moderate,1str,Jodhpur,DR10330,WelcomHeritage Balsamand Lake Palace
HO10353,Golden Sarovar Portico,budget,4str,Amritsar,DR10839,Golden Sarovar Portico
HO11140,Ravla Bhenswara,budget,3str,Bhenswara,DR10569,Ravla Bhenswara
HO11662,The River Front Resort,budget,3str,,DR11538,The River Front Resort
HO11480,Gogunda Palace,first-class,4str,Udaipur (RJ),DR12237,Gogunda Palace
HO12330,Java Rain Resort,first-class,4str,Chikkamagaluru,DR11538,Java Rain Resort
HO10639,Mantra Koodam,first-class,4str,Kumbakonam,DR10449,Mantra Koodam
HO11988,By The Riverside,moderate,1str,Pollachi,DR12688,By The Riverside
HO11315,Bodhgaya Regency,budget,4str,Bodhgaya,DR11173,Bodhgaya Regency
HO10856,Hyatt Regency,first-class,5str,New Delhi,DR10502,Hyatt Regency
HO11627,Radisson Blu Chennai City Centre,budget,5str,Chennai,DR11538,Radisson Blu Chennai City Centre
HO11190,Kaav Safari Lodge,moderate,1str,Kabini,DR11421,Kaav Safari Lodge
HO10937,Windsor Heights,budget,1str,Gurgaon,DR11170,Windsor Heights
HO11612,Bloom Boutique (Connaught Place),budget,3str,New Delhi,DR12402,Bloom Boutique (Connaught Place)
HO10978,Vivanta,first-class,5str,Navi Mumbai,DR11295,Vivanta
HO11826,Ramada,budget,4str,Alappuzha (Alleppey),DR11538,Ramada
HO11220,Airlink Castle,moderate,5str,Kochi (Cochin),DR11440,Airlink Castle
HO10405,Le Meridien,first-class,5str,New Delhi,DR10369,Le Meridien
HO10364,The Fern Ranthambhore Forest Resort,moderate,3str,Ranthambore,DR10853,The Fern Ranthambhore Forest Resort
HO12070,Rajah Eco Beach,budget,1str,,DR11538,Rajah Eco Beach
HO12345,Storii By ITC Hotels,first-class,1str,Jaisalmer,DR12801,Storii By ITC Hotels
HO10966,Ranthambore Camp,first-class,1str,Ranthambore,DR11554,Ranthambore Camp
HO11551,Sankhu Niwas,budget,1str,Bikaner,DR12056,Sankhu Niwas
HO10195,The Leela Palace,lux,5str-lux,Chennai,DR10128,The Leela Palace
HO11240,Sparsa,budget,3str,Tiruvannamalai,DR11315,Sparsa
HO12381,TEst VK HOtel API,lux,5str,Goa,DR11538,TEst VK HOtel API
HO11513,Somatheeram Research Institute & Ayurveda Hospital,moderate,1str,Kovalam,DR10442,Somatheeram Research Institute & Ayurveda Hospital
HO11346,Sujata,moderate,3str,Bodhgaya,DR11608,Sujata
HO11098,ITC Gardenia,first-class,5str,Bengaluru,DR11425,ITC Gardenia
HO10438,The Almond Tree,moderate,1str,Jodhpur,DR10343,The Almond Tree
HO10976,Barefoot Resorts,first-class,4str,Havelock,DR10534,Barefoot Resorts
HO10020,Ganges View,moderate,3str,Varanasi,DR10004,Ganges View
HO10024,Khandela Haveli,budget,3str,Jaipur,DR10001,Khandela Haveli
HO10569,Six Senses Fort Barwara,lux,5str,Ranthambore,DR11019,Six Senses Fort Barwara
HO11660,Jhira Bagh Palace,budget,3str,,DR11538,Jhira Bagh Palace
HO10272,Ramada,moderate,5str,Alappuzha (Alleppey),DR10363,Ramada
HO10711,Anand Kashi By The Ganges - IHCL SeleQtions,lux,5str,Rishikesh,DR10995,Anand Kashi By The Ganges - IHCL SeleQtions
HO10250,Castle Bera,moderate,2str,Pali (RJ) ,DR10549,Castle Bera
HO11070,WelcomHeritage Badi Kothi,moderate,1str,Prayagraj,DR11369,WelcomHeritage Badi Kothi
HO10119,Imperial,budget,3str,Jaisalmer,DR10293,Imperial
HO11178,Rawla Jojawar,moderate,3str,Jojawar,DR10573,Rawla Jojawar
HO10755,Devi Ratn - IHCL SeleQtions,first-class,5str,Jaipur,DR11131,Devi Ratn - IHCL SeleQtions
HO11366,Misty Gate,budget,3str,Wayanad,DR11524,Misty Gate
HO11521,Zone Palace By The Park,moderate,3str,Phalodi,DR12316,Zone Palace By The Park
HO10506,Pushkar Palace,first-class,3str,Pushkar,DR10941,Pushkar Palace
HO10865,Windflower Resort & Spa,moderate,5str,Coorg (Kodagu),DR11105,Windflower Resort & Spa
HO10970,Haveli Hari Ganga,moderate,3str,,DR10613,Haveli Hari Ganga
HO11672,Itmenaan Estate,budget,3str,Almora,DR11538,Itmenaan Estate
HO10125,The Fern Residency,moderate,4str,Udaipur (RJ),DR10218,The Fern Residency
HO11341,Grand Gardenia,budget,3str,Trichy (Tiruchirappalli),DR11502,Grand Gardenia
HO11451,Nimmu House,first-class,2str,Leh,DR12005,Nimmu House
HO10327,Taj Malabar Resort & Spa,first-class,5str,Kochi (Cochin),DR10375,Taj Malabar Resort & Spa
HO10886,The Shalimar,moderate,4str,Mumbai,DR10906,The Shalimar
HO10133,Pilibhit House â€“ IHCL SeleQtions,lux,5str,Haridwar,DR10450,Pilibhit House â€“ IHCL SeleQtions
HO10490,Rohet Garh,moderate,3str,Rohet,DR10403,Rohet Garh
HO12015,Kariappa House,moderate,1str,Puducherry (Pondicherry),DR12666,Kariappa House
HO11881,Regenta Orkos,budget,4str,,DR11538,Regenta Orkos
HO10704,Fortune Miramar,moderate,5str,Goa,DR11076,Fortune Miramar
HO11893,Wild Avenue Resort & Spa,budget,1str,,DR11538,Wild Avenue Resort & Spa
HO11917,Golden Tulip,budget,4str,Lucknow,DR11538,Golden Tulip
HO11211,Deshadan Cliff & Beach Resort,budget,3str,Varkala,DR11117,Deshadan Cliff & Beach Resort
HO10031,Lakshmi,budget,4str,Thanjavur (Tanjore),DR10190,Lakshmi
HO10573,Marari Villas,moderate,3str,Mararikulam,DR11007,Marari Villas
HO11431,Satvik Resort,budget,1str,New Delhi,DR11951,Satvik Resort
HO10533,The Postcard Gir,lux,5str,Sasan Gir,DR10415,The Postcard Gir
HO11647,Honeydewwz Exoticaa Hotel & Resort,budget,4str,,DR11538,Honeydewwz Exoticaa Hotel & Resort
HO10689,Fortune JP Palace,moderate,4str,Mysuru (Mysore),DR10865,Fortune JP Palace
HO11068,Clarks Inn,budget,1str,Jaipur,DR10246,Clarks Inn
HO11774,Green Olive,budget,3str,,DR11538,Green Olive
HO12129,Gateway Retreat,budget,5str,,DR11538,Gateway Retreat
HO10548,Lake Canopy,moderate,4str,Alappuzha (Alleppey),DR11035,Lake Canopy
HO10290,Vivanta (Dwarka),moderate,5str,New Delhi,DR10346,Vivanta (Dwarka)
HO11712,Casa Jaali,budget,1str,Goa,DR11538,Casa Jaali
HO11822,Radisson Hotel Jalandhar,budget,5str,,DR11538,Radisson Hotel Jalandhar
HO11465,Brij Anayra,first-class,1str,Dharamshala,DR12243,Brij Anayra
HO10717,Raajkutir - IHCL SeleQtions,first-class,4str,Kolkata,DR11109,Raajkutir - IHCL SeleQtions
HO10398,Fortune Pandiyan,moderate,3str,Madurai,DR10163,Fortune Pandiyan
HO10348,Emerald Isle,budget,heritage,Alappuzha (Alleppey),DR10244,Emerald Isle
HO12239,Dwarika's,lux,luxury-heritage-boutique-hotel,Kathmandu,DR12655,Dwarika's
HO10768,Hyatt Centric,first-class,5str,Goa,DR10509,Hyatt Centric
HO11058,Clarks Inn,moderate,3str,Badami,DR11368,Clarks Inn
HO11452,Mandawa Haveli,budget,3str,Mandawa,DR11185,Mandawa Haveli
HO10474,Abad Copper Castle,budget,3str,Munnar,DR10913,Abad Copper Castle
HO11205,Ramada By Wyndham Jaipur (North),moderate,4str,Jaipur,DR11288,Ramada By Wyndham Jaipur (North)
HO11612,Bloom Boutique (Connaught Place),budget,1str,New Delhi,DR12402,Bloom Boutique (Connaught Place)
HO11409,Grand Hyatt,lux,5str,Goa,DR10507,Grand Hyatt
HO10996,Accord,moderate,5str,Puducherry (Pondicherry),DR10936,Accord
HO12253,Temple Tree Resort & Spa,moderate,standard-hotel,Pokhara,DR12655,Temple Tree Resort & Spa
HO10277,Mandawa Haveli,moderate,3str,Jaipur,DR10660,Mandawa Haveli
HO12088,Mayas Kem Pride,budget,3str,,DR11538,Mayas Kem Pride
HO10513,Royal Orchid Central Kireeti,moderate,4str,Hosapete (Hospet) (not to be used),DR10537,Royal Orchid Central Kireeti
HO10126,Trident,first-class,5str,Udaipur (RJ),DR10229,Trident
HO10472,SUJAN Sher Bagh,lux,5str,Ranthambore,DR10932,SUJAN Sher Bagh
HO11909,Mercure Hyderabad KCP,moderate,4str,Hyderabad,DR12456,Mercure Hyderabad KCP
HO11721,Double Tree By Hilton,budget,5str,Goa,DR11538,Double Tree By Hilton
HO11613,Emarald,moderate,3str,New Delhi,DR12214,Emarald
HO11187,Dekeling,moderate,3str,Darjeeling,DR11800,Dekeling
HO11875,The Ayur Villa,budget,1str,,DR11538,The Ayur Villa
HO11857,Mandore Guest House,budget,3str,Jodhpur,DR10902,Mandore Guest House
HO12254,Jungle Villa Resort,moderate,1str,Chitwan,DR12655,Jungle Villa Resort
HO10167,Taj Hari Mahal,lux,5str,Jodhpur,DR10342,Taj Hari Mahal
HO11150,Aangan Resort,budget,4str,Ranthambore,DR11550,Aangan Resort
HO11824,JC Residency,budget,3str,Kodaikanal,DR12507,JC Residency
HO11204,Abad Fort,moderate,2str,Kochi (Cochin),DR11346,Abad Fort
HO12353,Umaid Mahal Palace,budget,1str,Pushkar,DR12720,Umaid Mahal Palace
HO11800,The Bay Agonda,budget,3str,,DR11538,The Bay Agonda
HO11505,Marvel Cruise,houseboat-moderate,houseboat-platinum,Kumarakom,DR10847,Marvel Cruise
HO12218,The Old Inn,budget,1str,Bandipur (NP),DR11538,The Old Inn
HO11228,Mannaas Veedu,moderate,1str,Pathanamthitta,DR11417,Mannaas Veedu
HO11143,The Lavitra,budget,3str,Udaipur (RJ),DR11530,The Lavitra
HO10120,Windermere Estate,first-class,4str,Munnar,DR10289,Windermere Estate
HO11953,Jawai Pugmark Safari Lodge,budget,1str,,DR11538,Jawai Pugmark Safari Lodge
HO12205,Pushkara Resort & Spa,moderate,1str,Pushkar,DR12221,Pushkara Resort & Spa
HO12177,Gateway,moderate,5str,Bekal,DR12397,Gateway
HO12186,Serene Horizon,moderate,5str,Thekkady (Periyar/Kumily),DR12458,Serene Horizon
HO12040,La Montana by TGI,budget,3str,,DR11538,La Montana by TGI
HO11637,Nuo By Justa,budget,4str,New Delhi,DR11538,Nuo By Justa
HO10136,Four Seasons,first-class,5str,Mumbai,DR10417,Four Seasons
HO10635,Amar,budget,3str,Agra,DR10085,Amar
HO11386,Casa De Goa,moderate,3str,Goa,DR11884,Casa De Goa
HO10577,Poetree Sarovar Portico,moderate,4str,Thekkady (Periyar/Kumily),DR11023,Poetree Sarovar Portico
HO12264,The Inn Patan,budget,standard-hotel,Lalitpur (NP),DR12655,The Inn Patan
HO12208,Saura,moderate,5str,Agra,DR12635,Saura
HO10930,Kanha Earth Lodge,first-class,4str,Kanha,DR11206,Kanha Earth Lodge
HO10986,Park Inn By Radisson,budget,4str,Amritsar,DR10521,Park Inn By Radisson
HO12160,Willow Banks,budget,4str,,DR11538,Willow Banks
HO10864,Ambassador Ajanta,moderate,5str,Aurangabad (MH) ,DR10526,Ambassador Ajanta
HO10349,Abhyaran Resort & Spa,budget,4str,Ranthambore,DR10742,Abhyaran Resort & Spa
HO10165,Mela Kothi - Chambal Safari Lodge,moderate,1str,Jarar,DR10661,Mela Kothi - Chambal Safari Lodge
HO11064,The Pride,moderate,5str,Nagpur,DR11404,The Pride
HO11576,Taj Wellington Mews,first-class,5str,Chennai,DR12374,Taj Wellington Mews
HO12134,Spicetree Chinnar,moderate,4str,Udumalpet,DR12573,Spicetree Chinnar
HO12222,Cardinal Express Oxmo,budget,3str,New Delhi,DR12664,Cardinal Express Oxmo
HO11360,Mapple Abhay,moderate,4str,Jodhpur,DR10763,Mapple Abhay
HO11142,Classic Residency,budget,3str,Haridwar,DR11342,Classic Residency
HO10837,Cardamom House,moderate,3str,Dindigul,DR10598,Cardamom House
HO12349,BluSalzz Residence,budget,1str,Amritsar,DR12807,BluSalzz Residence
HO11781,Salcete Beach Resort,budget,4str,,DR11538,Salcete Beach Resort
HO12248,Shambaling,budget,4str,Kathmandu,DR12655,Shambaling
HO10798,Bijapur Lodge,first-class,1str,Pali (RJ) ,DR11118,Bijapur Lodge
HO12185,The Imperial,moderate,4str,Bodhgaya,DR12488,The Imperial
HO12142,Athena,budget,1str,Tiruvannamalai,DR11538,Athena
HO10505,Royal Desert Safaries,moderate,1str,Jaisalmer,DR10961,Royal Desert Safaries
HO11037,Pride Plaza,moderate,5str,Ahmedabad,DR11354,Pride Plaza
HO12099,Hyatt Regency,budget,1str,Dehradun,DR11538,Hyatt Regency
HO11459,Courtyard By Marriott,first-class,3str,Trichy (Tiruchirappalli),DR11317,Courtyard By Marriott
HO11257,Jaypee Vasant Continental,moderate,5str,New Delhi,DR11297,Jaypee Vasant Continental
HO11979,Vijayatej Clarks Inn,budget,3str,,DR11538,Vijayatej Clarks Inn
HO10087,Dev Villa,moderate,1str,Jaisalmer,DR10294,Dev Villa
HO11118,Taj Wayanad Resort & Spa,first-class,5str,Wayanad,DR11460,Taj Wayanad Resort & Spa
HO10420,Bijolai Palace,moderate,4str,Jodhpur,DR10863,Bijolai Palace
HO10372,Taj Coromandel,first-class,5str,Chennai,DR10896,Taj Coromandel
HO10205,Udai Bilas Palace,moderate,1str,Dungarpur,DR10596,Udai Bilas Palace
HO11476,Norbu The Montanna - IHCL SeleQtions,first-class,5str,Dharamshala,DR12215,Norbu The Montanna - IHCL SeleQtions
HO10217,Olive Brook,budget,3str,Munnar,DR10728,Olive Brook
HO12171,The Fern Residency,budget,1str,Bhopal,DR11538,The Fern Residency
HO11588,Niraamaya Retreats Samroha,first-class,5str,Athirappilly,DR12365,Niraamaya Retreats Samroha
HO11391,Mundota Fort And Palace,moderate,5str,Jaipur,DR11956,Mundota Fort And Palace
HO10400,Heritage Madurai,first-class,5str,Madurai,DR10017,Heritage Madurai
HO11668,Justa Birding Resort & Spa,budget,5str,,DR11538,Justa Birding Resort & Spa
HO11284,Sea Lagoon Health Resort,moderate,4str,Kochi (Cochin),DR11759,Sea Lagoon Health Resort
HO11659,Plumeria Lake Resort & Spa,moderate,4str,Cherthala,DR12574,Plumeria Lake Resort & Spa
HO11429,Nirali Dhani,budget,3str,Jodhpur,DR11400,Nirali Dhani
HO11079,Vivanta (Ernakulam),moderate,5str,Kochi (Cochin),DR11338,Vivanta (Ernakulam)
