business_code,name,restaurant_type,part_of_hotel,hotel,ambience_score,tour_category,tci_score,city_name
FB80324,Keys Cafe,coffee-shop,True,HO10333,8.0,Food,8.0,Kochi (Cochin)
FB80426,Pearls and Chiffon,coffee-shop,True,HO10436,8.8,Food,8.8,Bikaner
FB80689,Valley View,coffee-shop,True,HO11072,5.4,Food,5.4,Kodaikanal
FB80811,Citrus Cafe,coffee-shop,True,HO11357,7.0,Food,7.0,Chennai
FB80649,Zodiac,coffee-shop,True,HO10971,6.1,Food,6.1,Ahmedabad
FB81335,Restaurant,coffee-shop,True,HO11062,5.8,Food,5.8,Palampur
FB80591,Citrus Cafe,coffee-shop,True,HO10550,6.1,Food,6.1,Alappuzha (Alleppey)
FB80978,Old Darbar Hall,coffee-shop,True,HO11545,7.4,Food,7.4,Pokhran
FB81210,Sumac,coffee-shop,True,HO12284,3.2,Food,3.2,Agra
FB80501,Restaurant,specialty-restaurant,True,HO10775,7.0,Food,7.0,Jaipur
FB80905,The Royal Root,specialty-restaurant,True,HO10103,5.9,Food,5.9,Jaipur
FB80372,Swapna Mahal,coffee-shop,True,HO10707,6.8,Food,6.8,Jaipur
FB80777,Citrus Cafe,coffee-shop,True,HO10963,6.6,Food,6.6,Dehradun
FB81185,Sangri,coffee-shop,True,HO12115,5.4,Food,5.4,Udaipur (RJ)
FB80028,Dining Room,coffee-shop,True,HO10003,6.0,Food,6.0,Jaipur
FB81278,Airavat,coffee-shop,True,HO12341,4.6,Food,4.6,Udaipur (RJ)
FB80936,L14,coffee-shop,True,HO11526,6.5,Food,6.5,Lucknow
FB81072,In-House Kitchen,coffee-shop,True,HO12191,5.5,Food,5.5,Vagamon
FB80990,Zasgyath,coffee-shop,True,HO10810,7.2,Food,7.2,Leh
FB81358,Restaurant,coffee-shop,True,HO11139,6.5,Food,6.5,Sariska
FB80976,The Restaurant,coffee-shop,True,HO11128,7.8,Food,7.8,Bandhavgarh
FB80453,Cafe Royale,coffee-shop,True,HO10401,7.3,Food,7.3,Kochi (Cochin)
FB80792,Jetty,coffee-shop,True,HO10406,8.3,Food,8.3,Kochi (Cochin)
FB80797,Lord Of The Drinks,multi-cuisine,False,,8.2,Food,8.2,New Delhi
FB81256,Jeeman,coffee-shop,True,HO12300,5.8,Food,5.8,Jaisalmer
FB81624,Restaurant,coffee-shop,True,HO11139,7.0,Food,7.0,Sariska
FB80572,Restaurant,coffee-shop,True,HO10365,6.9,Food,6.9,Karaikudi
FB81069,The Restaurant,coffee-shop,True,HO12185,5.2,Food,5.2,Bodhgaya
FB80016,Citrus Cafe,coffee-shop,True,HO10018,7.0,Food,7.0,New Delhi
FB80066,Peppercorn,specialty-restaurant,True,HO10026,10.0,Nature,8.2,Udaipur (RJ)
FB81074,Chitrasani,coffee-shop,True,HO12196,4.6,Food,4.6,Chitrasani
FB81090,The Bay Bistro,coffee-shop,True,HO12025,7.4,Food,7.4,Puducherry (Pondicherry)
FB80079,Bageecha,coffee-shop,True,HO10252,6.2,Food,1.0,Jaisalmer
FB80895,24-Jul,coffee-shop,True,HO11325,6.9,Food,6.9,Mumbai
FB80915,Seven Kitchen,coffee-shop,True,HO10222,7.0,Food,7.0,Mumbai
FB81612,Restaurant,coffee-shop,True,HO10301,7.7,Food,7.7,Wayanad
FB80595,Citrus Cafe,coffee-shop,True,HO10718,6.7,Food,6.7,Rishikesh
FB81253,Bundela Restaurant,coffee-shop,True,HO11491,3.2,Food,3.2,Khajuraho
FB81019,Sheesh Mahal,specialty-restaurant,True,HO10190,9.4,Food,9.4,Udaipur (RJ)
FB81154,Sonar Killa,coffee-shop,True,HO10087,5.8,Food,5.8,Jaisalmer
FB80361,Marwar,coffee-shop,True,HO10800,6.2,Food,6.2,Khejarla
FB81053,The Pavillion,coffee-shop,True,HO11616,7.0,Food,7.0,Dudhwa
FB80364,Shikaar Bagh,coffee-shop,True,HO10273,7.9,Food,7.9,Jaipur
FB81499,Darikhana,specialty-restaurant,True,HO10264,9.6,Food,9.6,Jodhpur
FB80232,Citrus,coffee-shop,True,HO10510,8.0,Food,8.0,Pune
FB81032,The In House,coffee-shop,True,HO11609,7.0,Food,7.0,Ranakpur
FB81002,The Restaurant,coffee-shop,True,HO10105,7.2,Food,7.2,Munnar
FB81062,Buzz,coffee-shop,True,HO12030,6.4,Food,6.4,Pune
FB80775,Sathvam,coffee-shop,True,HO11240,5.6,Food,5.6,Tiruvannamalai
FB81066,The Restaurant,coffee-shop,True,HO10799,5.8,Food,5.8,Jaisalmer
FB80953,Gol Kamra,coffee-shop,True,HO11484,6.4,Food,6.4,Jodhpur
FB80153,Sala Da Pranzo,coffee-shop,True,HO10623,8.8,Food,8.8,Goa
FB80849,Burgundy,coffee-shop,True,HO11196,4.2,Food,4.2,Bengaluru
FB80730,Swaad,coffee-shop,True,HO11033,6.3,Food,6.2,Puri
FB81318,Dining Room,coffee-shop,True,HO11514,7.0,Food,7.3,Kovalam
FB80378,Soothing Ambience,coffee-shop,True,HO10415,6.0,Food,6.0,Mamallapuram (Mahabalipuram)
FB80914,Hill Spice,coffee-shop,True,HO10223,9.0,Food,9.0,Munnar
FB80432,Peshawri,specialty-restaurant,True,HO10555,8.6,Food,8.6,Jaipur
FB80481,Royal Repast,specialty-restaurant,False,,6.0,Food,8.0,Udaipur (RJ)
FB80535,Dining Room,coffee-shop,True,HO10069,7.4,Food,7.4,Amritsar
FB80423,Angeethi,coffee-shop,True,HO10435,6.8,Food,6.8,Bikaner
FB80433,Jalmahal,coffee-shop,True,HO10555,7.5,Food,7.5,Jaipur
FB80939,Restaurant,coffee-shop,True,HO10621,7.4,Food,7.4,Agra
FB81255,Pavilion,coffee-shop,True,HO11073,5.4,Food,5.4,Udaipur (RJ)
FB80947,Keraleeyam,coffee-shop,True,HO11223,5.8,Food,5.8,Kozhikode (Calicut)
FB81430,Las Brisas,coffee-shop,True,HO12107,6.9,Food,6.9,Rishikesh
FB81269,Zest Cafe and Kitchen,coffee-shop,True,HO12348,4.2,Food,4.2,Goa
FB81164,Dining Area,coffee-shop,True,HO12042,6.0,Food,6.0,Orchha
FB80890,Citrine,coffee-shop,True,HO11510,6.6,Food,6.6,Nasik
FB80236,Citrus Cafe,coffee-shop,True,HO10715,5.7,Food,5.7,Siliguri
FB81190,Plantation,coffee-shop,True,HO11334,5.0,Food,5.0,Thekkady (Periyar/Kumily)
FB81373,Restaurant,coffee-shop,True,HO12450,8.9,Food,8.9,Orchha
FB80643,Majestic Masala,coffee-shop,True,HO10941,4.4,Food,4.4,Nagpur
FB81410,Appetite,coffee-shop,True,HO12531,4.2,Food,4.2,Aurangabad (MH) 
FB80804,The Restaurant,coffee-shop,True,HO10421,7.4,Food,7.4,Jodhpur
FB80059,Jaisalmer Kitchen,coffee-shop,True,HO10094,7.8,Food,7.8,Jaisalmer
FB81386,Restaurant,coffee-shop,True,HO11139,,,,Sariska
FB81266,Bazaar,coffee-shop,True,HO12329,6.6,Food,6.6,Madurai
FB80571,Taasli,coffee-shop,True,HO10706,7.6,Food,7.6,Manvar (RJ)
FB81124,Pavilion,coffee-shop,True,HO10937,7.0,Food,7.0,Gurgaon
FB80306,The One,coffee-shop,True,HO10405,9.0,Food,9.0,New Delhi
FB80278,Spring,coffee-shop,True,HO10411,7.0,Food,7.0,Mysuru (Mysore)
FB80332,Clever Fox Cafe,coffee-shop,True,HO10719,5.6,Food,5.6,New Delhi
FB80964,Bazaar,coffee-shop,True,HO11530,7.6,Food,7.6,Jaisalmer
FB80543,Restaurant,coffee-shop,True,HO10806,8.8,Food,8.8,Sardargarh
FB80524,Shikar,coffee-shop,True,HO10491,8.8,Food,8.8,Rohet
FB80646,Blue Coriander,coffee-shop,True,HO10928,5.2,Food,5.2,Jaipur
FB80316,Promenade,coffee-shop,True,HO10307,6.2,Food,6.2,New Delhi
FB80488,Monsoon,coffee-shop,True,HO10571,6.2,Food,5.6,Bengaluru
FB80546,Restaurant,coffee-shop,True,HO10490,8.1,Food,8.1,Rohet
FB81093,The Cave,coffee-shop,True,HO12113,5.4,Food,5.4,Wayanad
FB80371,Vembanad,coffee-shop,True,HO10034,7.8,Food,7.8,Kumarakom
FB80195,Les Alizes,coffee-shop,True,HO10479,9.2,Food,9.2,Puducherry (Pondicherry)
FB80217,Dakshin,coffee-shop,True,HO10712,9.4,Food,9.4,Kanchipuram
FB80868,Courtyard,coffee-shop,True,HO10179,9.4,Food,9.4,Samode
FB81105,Sky Club,coffee-shop,True,HO12201,6.7,Food,6.7,Gurgaon
FB81245,Amber Pavilion,coffee-shop,True,HO12322,5.8,Food,5.8,Jaipur
FB80972,Regency,coffee-shop,True,HO11315,3.0,Food,3.0,Bodhgaya
FB80380,Spice,coffee-shop,True,HO10119,6.0,Food,6.0,Jaisalmer
FB80562,Restaurant,coffee-shop,True,HO10543,5.4,Food,5.4,Gwalior
FB81462,Mynt,coffee-shop,True,HO12566,6.7,Food,6.7,Kochi (Cochin)
FB81475,Kwality Cafe,multi-cuisine,False,,8.1,Food,8.7,Chandigarh
FB80287,Citrus Cafe,coffee-shop,True,HO10747,8.0,Food,8.0,Gurgaon
FB80602,Baradari,coffee-shop,True,HO10264,9.4,Food,9.4,Jodhpur
FB81593,Vista 20,coffee-shop,True,HO12738,7.2,Food,7.2,Jaipur
FB80978,Old darbar Hall,coffee-shop,True,HO11545,7.4,Food,7.4,Pokhran
FB80932,Cheenavala,coffee-shop,True,HO11528,6.8,Food,6.8,Alappuzha (Alleppey)
FB81014,Match Point,coffee-shop,True,HO11576,6.8,Food,6.8,Chennai
FB81534,Fisherman's Wharf,multi-cuisine,False,,9.2,Food,9.2,Goa
FB80160,Latitude,coffee-shop,True,HO10629,7.3,Food,7.3,Aurangabad (MH) 
FB80098,The Garden Terrace,coffee-shop,True,HO10547,9.2,Food,9.2,New Delhi
FB80443,Tharavadu,coffee-shop,True,HO10591,8.8,Food,8.8,Kochi (Cochin)
FB80665,Silver Saloon,coffee-shop,True,HO11022,7.2,Food,7.2,Gwalior
FB80216,Bazaar,coffee-shop,True,HO10071,7.4,Food,7.4,Chennai
FB81220,The Palm Terrace,coffee-shop,True,HO11041,4.6,Food,4.6,Chalsa
FB81048,The Restaurant,coffee-shop,True,HO12039,5.2,Food,5.2,Bharatpur
FB81553,Swad,coffee-shop,True,HO12712,5.0,Food,5.0,Varanasi
FB81287,The Restaurant,coffee-shop,True,HO10992,4.0,Food,4.0,Tadoba
FB81491,Casa Oliveira Fernandes,multi-cuisine,False,,8.0,Food,8.0,Goa
FB81517,Restaurant,coffee-shop,True,HO12663,7.6,Food,7.6,Auroville
FB80960,The Restaurant,coffee-shop,True,HO11544,5.0,Food,5.0,Mararikulam
FB80349,Dining Area,coffee-shop,True,HO10503,8.8,Food,8.8,Shahpura (Bhilwara)
FB81142,Zest,coffee-shop,True,HO12211,5.8,Food,5.8,Hassan
FB81337,The Gourmet,coffee-shop,True,HO12402,7.6,Food,7.6,Ahmedabad
FB80107,Creo,coffee-shop,True,HO10290,8.4,Food,8.4,New Delhi
FB80945,The In House,coffee-shop,True,HO11338,5.2,Food,5.2,Mussoorie
FB81364,In House Dining,coffee-shop,True,HO12442,8.1,Food,8.1,Stok (Leh)
FB81116,Flamingo Boutique Villa,coffee-shop,True,HO11967,4.8,Food,4.8,Mararikulam
FB81581,Restaurant,coffee-shop,True,HO11332,6.9,Food,6.9,Munnar
FB81407,Rainbow,coffee-shop,True,HO11916,6.4,Food,6.3,Katra
FB80466,Restaurant,coffee-shop,True,HO10815,7.4,Food,7.4,Bijaynagar
FB81083,Pine & Petals,coffee-shop,True,HO11824,4.0,Food,4.0,Kodaikanal
FB80090,Connaught Clubhouse,multi-cuisine,False,,8.2,Food,8.2,New Delhi
FB81059,Shamiana,coffee-shop,True,HO11858,6.8,Food,6.8,Gurgaon
FB80301,Citrus Cafe,coffee-shop,True,HO10723,7.0,Food,7.0,Gurgaon
FB80222,Garden Kebabs,coffee-shop,True,HO10451,8.6,Food,8.6,Udaipur (RJ)
FB81034,The Hub Kitchen,coffee-shop,True,HO11577,7.0,Food,7.0,Munnar
FB80148,Vista,coffee-shop,True,HO10409,8.8,Food,8.8,Madurai
FB80594,Citrus Cafe,coffee-shop,True,HO10535,6.7,Food,6.7,Goa
FB81276,Masala Magic,coffee-shop,True,HO12340,4.8,Food,4.8,Pushkar
FB80922,Mirasa,coffee-shop,True,HO11467,7.0,Food,7.0,Mumbai
FB80923,Dining,coffee-shop,True,HO11517,6.8,Food,6.8,Manvar (RJ)
FB80975,Indian Spice,coffee-shop,True,HO11179,6.6,Food,6.6,Ranthambore
FB80641,The Cafe @ JW,coffee-shop,True,HO10879,5.6,Food,5.6,Chandigarh
FB81401,The Jaisal Treat,multi-cuisine,False,,9.0,Food,9.0,Jaisalmer
FB80984,Sands of Time,coffee-shop,True,HO11559,6.4,Food,6.4,Jodhpur
FB81286,Terrace Grill,coffee-shop,True,HO12334,8.8,Food,8.8,Chettinadu
FB80068,Granary,multi-cuisine,True,HO10243,8.4,Food,8.2,Siddapura (Coorg) (not to used)
FB80068,Granary,coffee-shop,True,HO10243,9.2,Food,9.2,Coorg (Kodagu)
FB80214,Conversation,coffee-shop,True,HO10568,8.4,Food,8.4,Jaipur
FB80063,Hotel Castle Bijaipur,multi-cuisine,True,HO10026,7.0,Heritage,6.8,Udaipur (RJ)
FB81481,Dhanushkoti,coffee-shop,True,HO12599,7.6,Food,7.6,Varanasi
FB80540,In Room Dining,multi-cuisine,True,HO10467,8.0,Food,8.0,Mararikulam
FB80303,Terrazzo,coffee-shop,True,HO10442,8.0,Food,8.0,Jaipur
FB81535,Kadak,coffee-shop,True,HO12684,6.4,Food,6.4,Mumbai
FB81113,Qube Cafe,coffee-shop,True,HO12205,6.4,Food,6.4,Pushkar
FB80205,Embark,coffee-shop,True,HO10817,7.0,Food,7.0,Udaipur (RJ)
FB80553,Restaurant,multi-cuisine,True,HO10374,7.0,Food,7.0,Bengaluru
FB80511,The Restaurant,coffee-shop,True,HO10271,8.3,Food,8.3,Ranthambore
FB80129,Fenix,coffee-shop,True,HO10240,9.4,Food,9.4,Mumbai
FB81094,Gazebo,coffee-shop,True,HO12199,6.0,Food,6.0,Goa
FB80899,24-Jul,coffee-shop,True,HO11355,6.2,Food,6.2,Jaipur
FB81344,Dining,coffee-shop,True,HO10777,5.8,Food,5.8,Pench
FB81098,Coconut Grove,coffee-shop,True,HO11708,5.0,Food,5.0,Goa
FB80155,Trattoria,coffee-shop,True,HO10366,9.0,Food,9.0,Mumbai
FB80212,Skylight,coffee-shop,True,HO10678,8.4,Food,8.4,Chandigarh
FB80749,The Restaurant,coffee-shop,True,HO11133,5.8,Food,5.8,Karauli
FB80978,Old Darbar Hall,coffee-shop,True,HO11545,7.2,Food,7.2,Pokhran
FB80347,The Ambiance,coffee-shop,True,HO10520,8.4,Food,8.4,Hassan
FB80189,Polki,coffee-shop,True,HO10744,7.8,Food,7.8,Bikaner
FB80302,K3,coffee-shop,True,HO10253,9.2,Food,9.2,New Delhi
FB80645,Sol House Cafe,coffee-shop,True,HO10948,6.8,Food,6.8,Pushkar
FB81419,Saddleback,coffee-shop,True,HO12465,7.3,Food,7.3,Mahabaleshwar
FB80051,Gingee,coffee-shop,True,HO10147,7.1,Food,7.1,Vellore
FB80379,Tiffin's,coffee-shop,True,HO10742,7.0,Food,7.0,Poovar
FB80491,Cafe Du Mahe,coffee-shop,True,HO10150,7.6,Food,7.6,Kochi (Cochin)
FB80005,Ekaa Villa & Kitchen,coffee-shop,True,HO10007,7.1,Food,7.1,Agra
FB81215,Kava Grill and Lounge,coffee-shop,True,HO10836,5.8,Food,5.8,Amritsar
FB81450,The Lakeside Restaurant,coffee-shop,True,HO12551,8.7,Food,8.7,Khajuraho
FB80510,Dining Room,coffee-shop,True,HO10422,9.2,Food,9.2,Ooty (Udhagamandalam)
FB80593,Citrus Cafe,coffee-shop,True,HO10530,6.5,Food,6.5,Gangtok
FB80260,Sloâ€™ Food Co.2,coffee-shop,True,HO10246,7.4,Food,7.4,Bengaluru
FB81006,Dining,coffee-shop,True,HO10930,6.3,Food,6.3,Kanha
FB80560,Restaurant,coffee-shop,True,HO10574,7.2,Food,7.2,Thekkady (Periyar/Kumily)
FB80648,Machaan,coffee-shop,True,HO10961,6.6,Food,6.6,Varanasi
FB80352,Restaurant,coffee-shop,True,HO10780,7.2,Food,7.2,Neeleshwar
FB80887,Forks & Spoons,coffee-shop,True,HO11477,5.2,Food,5.2,Bharatpur
FB80010,Tapas,bar,True,HO10008,8.0,Food,8.0,Agra
FB81456,Dining Room,coffee-shop,True,HO11139,,,,Sariska
FB80706,Cafe Pride,coffee-shop,True,HO11064,6.0,Food,6.0,Nagpur
FB80933,Keys Cafe,coffee-shop,True,HO11524,5.8,Food,5.8,Thekkady (Periyar/Kumily)
FB81305,Zodiac,coffee-shop,True,HO12376,5.8,Food,5.8,Chennai
FB81065,Reflection,coffee-shop,True,HO10281,7.6,Food,7.6,Dharamshala
FB80239,Ettukettu,coffee-shop,True,HO10063,9.0,Food,9.0,Kumarakom
FB81527,Dining Area,coffee-shop,True,HO10938,7.5,Food,7.5,Kolkata
FB80952,Tangelo,coffee-shop,True,HO11512,5.6,Food,5.6,Kalaburagi (Gulbarga)
FB81112,The Pavilion,coffee-shop,True,HO11936,6.6,Food,6.6,Mussoorie
FB81195,Infinit,coffee-shop,True,HO12278,5.2,Food,5.2,Mysuru (Mysore)
FB80049,Mahua,multi-cuisine,True,HO10026,,,,Udaipur (RJ)
FB80079,Bageecha,coffee-shop,True,HO10252,7.3,Food,7.3,Jaisalmer
FB80706,Cafe Pride,coffee-shop,True,HO11064,6.2,Food,6.2,Nagpur
FB80524,Shikar,coffee-shop,True,HO10491,8.1,Food,8.1,Rohet
FB80175,Machan,coffee-shop,True,HO10231,8.4,Food,8.4,Bengaluru
FB80401,Canton Royal,coffee-shop,True,HO10130,8.6,Food,8.6,Varanasi
FB80962,Anoop Mahal,coffee-shop,True,HO10487,6.1,Food,6.1,Bikaner
FB80678,Dining Room,coffee-shop,True,HO10974,7.3,Food,7.3,Mount Abu
FB80422,The Banni,coffee-shop,True,HO10813,7.4,Food,7.4,Bhuj
FB81361,Restaurant,coffee-shop,True,HO12063,7.6,Food,7.6,Tranquebar (Tharangambadi)
FB80513,The Restaurant,coffee-shop,True,HO10270,8.1,Food,8.1,Alwar
FB81149,The Silver Dining Room,coffee-shop,True,HO10170,7.4,Food,7.4,Kalimpong
FB81602,Serenade Cafe,coffee-shop,True,HO12761,5.0,Food,5.0,Panchkula
FB81093,The Cave,coffee-shop,True,HO12113,6.0,Food,6.0,Wayanad
FB80821,Chai Lounge,multi-cuisine,True,HO10991,4.6,Food,4.6,Namchi
FB81590,Restaurant,coffee-shop,True,HO12725,6.1,Food,6.1,Agra
FB80252,Cafe Treat,coffee-shop,True,HO10685,6.9,Food,6.9,Kolkata
FB80980,Ashtam,coffee-shop,True,HO11556,6.4,Food,6.4,Jaipur
FB81081,The Restaurant,coffee-shop,True,HO11730,5.0,Food,5.0,Coorg (Kodagu)
FB80006,The Grand Buffet,coffee-shop,True,HO10008,7.6,Food,7.6,Agra
FB81200,The Restaurant,coffee-shop,True,HO10065,9.4,Food,9.4,Munnar
FB81040,Bay Leaf,coffee-shop,True,HO11608,5.4,Food,5.4,Pushkar
FB80127,The Dining Room,coffee-shop,True,HO10133,9.2,Food,9.2,Haridwar
FB81448,Maikal,coffee-shop,True,HO12554,7.3,Food,7.3,Kanha
FB80084,The Raj Pavilion,coffee-shop,True,HO10026,8.5,Food,8.8,Udaipur (RJ)
FB80982,Lichi vriksh,coffee-shop,True,HO11560,6.4,Food,6.4,Varanasi
FB81538,The Mughal Room,specialty-restaurant,True,HO10079,9.3,Food,9.3,Agra
FB80351,Temptation,coffee-shop,True,HO10736,7.2,Food,7.2,Hosapete (Hospet) (not to be used)
FB81179,Tara,coffee-shop,True,HO12267,7.0,Food,6.0,Kathmandu
FB81188,Restaurant,coffee-shop,True,HO12246,7.0,Food,7.0,Everest Region
FB80778,Citrus Cafe,coffee-shop,True,HO10516,6.5,Food,6.5,Katra
FB80444,Fort Kochi,specialty-restaurant,True,HO10591,8.8,Food,8.8,Kochi (Cochin)
FB80655,Ekatra,coffee-shop,True,HO10985,6.4,Food,6.4,Jodhpur
FB81472,Restaurant,coffee-shop,True,HO11139,7.8,Food,7.8,Sariska
FB80247,The Dining Room,coffee-shop,True,HO10190,8.5,Food,8.5,Udaipur (RJ)
FB80359,Atrium,coffee-shop,True,HO10030,5.4,Food,5.4,New Delhi
FB80043,Trishna,specialty-restaurant,False,,7.8,Food,7.8,Mumbai
FB80800,Twenty One Bar & Cafe,coffee-shop,True,HO11358,6.7,Food,6.7,Jaipur
FB81320,Restaurant,coffee-shop,True,HO10798,6.7,Food,6.7,Pali (RJ) 
FB80845,Grasshopper,coffee-shop,True,HO11237,6.6,Food,6.6,Kovalam
FB80651,The Castle,coffee-shop,True,HO10982,7.6,Food,7.6,Mysuru (Mysore)
FB80263,Jai Niwas,coffee-shop,True,HO10425,7.0,Food,7.0,Mandawa
FB80660,Sidak,coffee-shop,True,HO11005,6.2,Food,6.2,Amritsar
FB80195,Les Alizes,coffee-shop,True,HO10479,8.1,Food,8.1,Puducherry (Pondicherry)
FB80349,Dining Area,coffee-shop,True,HO10503,8.0,Food,8.0,Shahpura (Bhilwara)
FB81217,Pokaran Desert Resort,coffee-shop,True,HO11422,6.7,Food,6.7,Pokhran
FB80306,The One,coffee-shop,True,HO10405,8.1,Food,8.1,New Delhi
FB80874,Dining,coffee-shop,True,HO10517,7.2,Food,7.2,Ranakpur
FB80265,Citrus Cafe,coffee-shop,True,HO10378,7.0,Food,7.0,Bengaluru
FB80592,Citrus Cafe,coffee-shop,True,HO10514,7.5,Food,7.5,Aurangabad (MH) 
FB81205,Dining Hall,coffee-shop,True,HO11794,5.8,Food,5.8,Tadoba
FB81604,A Millet,coffee-shop,True,HO12728,6.6,Food,6.6,Ahmedabad
FB80662,Curry & Rice,coffee-shop,True,HO11018,5.2,Food,5.2,Ooty (Udhagamandalam)
FB80977,Dining Tent,coffee-shop,True,HO11486,6.6,Food,6.6,Ranthambore
FB80726,Mynt,coffee-shop,True,HO11099,8.8,Food,8.8,Mangaluru (Mangalore)
FB81493,Restaurant,coffee-shop,True,HO12606,5.6,Food,5.6,Kumbhalgarh
FB81207,The Restaurant,coffee-shop,True,HO12280,5.0,Food,5.0,Hoshangabad (Satpura)
FB80936,L14,coffee-shop,True,HO11526,5.8,Food,5.8,Lucknow
FB80677,Mynt,coffee-shop,True,HO10978,7.4,Food,7.4,Navi Mumbai
FB81520,Ginger House Restaurant,coffee-shop,True,HO11691,6.2,Food,6.2,Kochi (Cochin)
FB81377,Cedar,coffee-shop,True,HO11139,,,,Sariska
FB80906,House Of Han,specialty-restaurant,True,HO10103,5.9,Food,5.9,Jaipur
FB80902,Biso,coffee-shop,True,HO11362,4.6,Food,4.6,Vijayapura (Bijapur)
FB80897,Nombili,coffee-shop,True,HO11298,6.6,Food,6.6,Bekal
FB80271,Shahnama,coffee-shop,True,HO10663,5.0,Food,5.0,Bhopal
FB81307,Mynt,coffee-shop,True,HO11805,7.8,Food,7.8,Goa
FB81601,Restaurant,multi-cuisine,True,HO12522,6.9,Food,6.9,Ranthambore
FB80344,Sapphire,coffee-shop,True,HO10628,7.2,Food,7.2,Shahpura (Jaipur)
FB80613,Mirasa,coffee-shop,True,HO10025,6.9,Food,6.9,Udaipur (RJ)
FB81442,Restaurant,coffee-shop,True,HO12546,6.1,Food,6.1,Udaipur (RJ)
FB80317,Citrus Cafe,coffee-shop,True,HO10450,8.0,Food,8.0,Jaipur
FB81244,The Restaurant,coffee-shop,True,HO12320,6.9,Food,6.9,Puducherry (Pondicherry)
FB81132,The Restaurant,coffee-shop,True,HO11890,5.8,Food,5.8,Jaisalmer
FB81227,Bloom Cafe,coffee-shop,True,HO11207,4.6,Food,4.6,Bengaluru
FB81228,Bloom CafÃ©,coffee-shop,True,HO11208,6.2,Food,6.2,Goa
FB81102,The Restaurant,coffee-shop,True,HO11798,5.6,Food,5.6,Goa
FB80185,Chakara,coffee-shop,True,HO10343,7.9,Food,7.9,Mararikulam
FB81391,Dining Room,coffee-shop,True,HO12523,7.0,Food,7.0,Jaipur
FB80891,Restaurant,coffee-shop,True,HO11241,5.8,Food,5.8,Ooty (Udhagamandalam)
FB80533,Dining Room,multi-cuisine,True,HO10722,7.4,Food,7.4,Kothamangalam (TN) 
FB81452,Honey Comb,coffee-shop,True,HO10169,9.2,Food,9.2,Kabini
FB81540,Nanking Restaurant,multi-cuisine,False,,8.4,Food,8.4,New Delhi
