business_code,name,theme_score,tour_category,start_city_name,end_city_name
AC20012,E - Rickshaw Ride,4.7,Experiential,Jaipur,Jaipur
AC20014,Discuss Art with Contemporary Artists,9.2,Experiential,Udaipur (RJ),Udaipur (RJ)
AC20014,Discuss Art With Contemporary Artists [A DKC Experience],9.2,Experiential,Udaipur (RJ),Udaipur (RJ)
AC20015,Elephant Ride at Amber Fort,8.1,Experiential,Jaipur,Jaipur
AC20016,Visit to Rare Artist,9.3,Experiential,Udaipur (RJ),Udaipur (RJ)
AC20017,Tonga Ride,8.3,Experiential,Agra,Agra
AC20018,Movie Show At Raj Mandir,2.2,Experiential,Jaipur,Jaipur
AC20019,Jaipur Cycle Tour,3.2,Experiential,Jaipur,Jaipur
AC20019,Jaipur Cycle Tour,3.5,Heritage,Jaipur,Jaipur
AC20020,Beyond the Taj Mahal – Kachhpura Walk,8.3,Heritage,Agra,Agra
AC20020,Beyond The Taj Mahal – Kachhpura Walk [A DKC Experience],8.3,Heritage,Agra,Agra
AC20021,Blue Pottery Workshop,8.4,Experiential,Jaipur,Jaipur
AC20022,Old Agra: The Road Not Taken,8.3,Heritage,Agra,Agra
AC20022,Old Agra: The Road Not Taken [A DKC Experience],8.3,Heritage,Agra,Agra
AC20023,Classic Joyride,8.5,Experiential,Jaipur,Jaipur
AC20023,Classic Joyride [A DKC Experience],8.5,Experiential,Jaipur,Jaipur
AC20024,The Colonial Tour,8.7,Heritage,Agra,Agra
AC20024,The Colonial Tour [A DKC Experience],8.7,Heritage,Agra,Agra
AC20025,Food Trail,8.8,Food,Puducherry (Pondicherry),Puducherry (Pondicherry)
AC20026,Vilachery - Artisans Village Visit,8.0,Experiential,Madurai,Madurai
AC20027,Cycle Rickshaw Ride,7.0,Experiential,Madurai,Madurai
AC20027,Cycle Rickshaw Ride,7.0,Heritage,Madurai,Madurai
AC20027,Cycle Rickshaw Ride,7.1,Adventure,Madurai,Madurai
AC20027,Cycle Rickshaw Ride - 01 HRS.,7.0,Experiential,Madurai,Madurai
AC20027,Cycle Rickshaw Ride - 01 HRS.,7.0,Heritage,Madurai,Madurai
AC20027,Cycle Rickshaw Ride - 01 HRS.,7.1,Adventure,Madurai,Madurai
AC20028,Toy Train Ride-Shimla,8.8,Experiential,Shimla,Shimla
AC20028,Toy Train Ride-Shimla,9.4,Heritage,Shimla,Shimla
AC20029,Hi Tea with Indian Family,8.8,Experiential,Agra,Agra
AC20029,Hi Tea with Indian Family,8.9,Experiential,Agra,Agra
AC20030,Cooking Demo & Meals with Indian Family,8.5,Food,Agra,Agra
AC20031,Auto Rickshaw Ride,7.0,Experiential,Madurai,Madurai
AC20031,Auto Rickshaw Ride,7.0,Heritage,Madurai,Madurai
AC20031,Auto Rickshaw Ride for Night Ceremony Visit,7.0,Experiential,Madurai,Madurai
AC20031,Auto Rickshaw Ride for Night Ceremony Visit,7.0,Heritage,Madurai,Madurai
AC20032,Countryside Bicycle Tour,,,Agra,Agra
AC20032,Countryside Bicycle Tour [A DKC Experience],,,Agra,Agra
AC20033,Yoga Facing The Taj From Taj Khema,9.4,Wellness,Agra,Agra
AC20035,Agra By Night,,,Agra,Agra
AC20035,Agra By Night [A DKC Experience],,,Agra,Agra
AC20036,Rickshaw Ride,,,Agra,Agra
AC20037,Kallupatti Village Experiance,7.5,Heritage,Batlagundu (Vathalagundu),Batlagundu (Vathalagundu)
AC20037,Kallupatti Village Experiance,8.0,Experiential,Batlagundu (Vathalagundu),Batlagundu (Vathalagundu)
AC20037,Kallupatti Village Experiance,8.0,Food,Batlagundu (Vathalagundu),Batlagundu (Vathalagundu)
AC20038,Journey From The Mughal To The Raj,,,Agra,Agra
AC20038,Journey From The Mughal To The Raj [A DKC Experience],,,Agra,Agra
AC20039,Walking Tour of Kochi,,,Kochi (Cochin),Kochi (Cochin)
AC20039,Walking Tour Of Kochi [A DKC Experience],,,Kochi (Cochin),Kochi (Cochin)
AC20040,Heritage Walk,8.2,Experiential,Puducherry (Pondicherry),Puducherry (Pondicherry)
AC20041,Kizhur Village Visit,9.0,Experiential,Puducherry (Pondicherry),Puducherry (Pondicherry)
AC20041,Kizhur Village Visit [A DKC Experience],9.0,Experiential,Puducherry (Pondicherry),Puducherry (Pondicherry)
AC20043,Petanque Play,8.5,Experiential,Puducherry (Pondicherry),Puducherry (Pondicherry)
AC20043,Petanque Play [A DKC Experience],8.5,Experiential,Puducherry (Pondicherry),Puducherry (Pondicherry)
AC20044,Wake up Pondi Cycle Tour,9.0,Adventure,Puducherry (Pondicherry),Puducherry (Pondicherry)
AC20044,Wake Up Pondi Cycle Tour [A DKC Experience],9.0,Adventure,Puducherry (Pondicherry),Puducherry (Pondicherry)
AC20045,Walk for the Tongawallahs,9.0,Experiential,Udaipur (RJ),Udaipur (RJ)
AC20046,Autorickshaw transfers for Walled city hotel,9.0,Experiential,Udaipur (RJ),Udaipur (RJ)
AC20047,Dharohar Dance Show at Bagore ki Haveli,9.0,Experiential,Udaipur (RJ),Udaipur (RJ)
AC20048,Cycle Rickshaw Ride,8.5,Adventure,Puducherry (Pondicherry),Puducherry (Pondicherry)
AC20049,Witness the Temple Art of Jal Sanjhi,8.4,Experiential,Udaipur (RJ),Udaipur (RJ)
AC20049,Witness The Temple Art Of Jal Sanjhi [A DKC Experience],8.4,Experiential,Udaipur (RJ),Udaipur (RJ)
AC20052,In and Around - Meet the Women of Sadhna,8.5,Experiential,Udaipur (RJ),Udaipur (RJ)
AC20052,In And Around - Meet The Women Of Sadhna [A DKC Experience],8.5,Experiential,Udaipur (RJ),Udaipur (RJ)
AC20053,Bollywood Tour without lunch,7.6,Experiential,Mumbai,Mumbai
AC20054,Rickshaw ride,10.0,Experiential,Varanasi,Varanasi
AC20055,Henna Application,9.1,Experiential,Jaipur,Jaipur
AC20056,Rickshaw ride to Ramnagar,,,Varanasi,Varanasi
AC20057,Boat Ride on River Ganges,10.0,Experiential,Varanasi,Varanasi
AC20057,Boat Ride On River Ganges,10.0,Experiential,Varanasi,Varanasi
AC20057,Early Morning Boat Ride,10.0,Experiential,Varanasi,Varanasi
AC20058,Lecture on Hinduism,8.0,Experiential,Varanasi,Varanasi
AC20059,Yoga per class,10.0,Wellness,Varanasi,Varanasi
AC20060,Sound and Light Show at Amber,8.3,Heritage,Jaipur,Jaipur
AC20062,Cooking Demo & Dinner with Indian Family,8.7,Food,Jaipur,Jaipur
AC20064,Classical Music,10.0,Experiential,Varanasi,Varanasi
AC20065,Shared Boat Ride In Ranganatittu Bird Sanctuary,8.4,Nature,Srirangapatna,Srirangapatna
AC20066,Exclusive Boat Ride In Ranganatittu Bird Sanctuary,8.3,Nature,Srirangapatna,Srirangapatna
AC20067,Sharing Boat Ride on Lake Pichola,9.2,Experiential,Udaipur (RJ),Udaipur (RJ)
AC20069,Exclusive Boat Ride on Lake Pichola,9.6,Experiential,Udaipur (RJ),Udaipur (RJ)
AC20071,Visit to the Weavers’ District,8.0,Experiential,Varanasi,Varanasi
AC20071,Visit To The Weavers’ District [A DKC Experience],8.0,Experiential,Varanasi,Varanasi
AC20072,Boat ride to Ramnagar Fort,9.2,Heritage,Varanasi,Varanasi
AC20072,Boat ride to Ramnagar Fort,10.0,Experiential,Varanasi,Varanasi
AC20073,E-Rickshaw ride,9.8,Experiential,Varanasi,Varanasi
AC20073,E-Rickshaw Ride,9.8,Experiential,Varanasi,Varanasi
AC20074,Ramnagar Ramlila,10.0,Experiential,Varanasi,Varanasi
AC20074,Ramnagar Ramlila [A DKC Experience],10.0,Experiential,Varanasi,Varanasi
AC20075,Indian Classical Music Walk,10.0,Experiential,Varanasi,Varanasi
AC20075,Indian Classical Music Walk [A DKC Experience],10.0,Experiential,Varanasi,Varanasi
AC20076,Motor Boat Exclusive,10.0,Experiential,Varanasi,Varanasi
AC20077,Chair for Evening Aarti,8.0,Experiential,Varanasi,Varanasi
AC20078,Explore the Quaint Village of Samal,7.5,Experiential,Udaipur (RJ),Udaipur (RJ)
AC20079,Yoga session,9.7,Experiential,Udaipur (RJ),Udaipur (RJ)
AC20080,Rent A Vintage,9.0,Experiential,Jaipur,Jaipur
AC20081,Anglo Indian Cooking Demo with Lunch,,,Kochi (Cochin),Kochi (Cochin)
AC20081,Anglo Indian Cooking Demo With Lunch [A DKC Experience],,,Kochi (Cochin),Kochi (Cochin)
AC20081,Anglo Indian Cooking Demo With Lunch at Jeanette Dale[A DKC Experience],,,Kochi (Cochin),Kochi (Cochin)
AC20082,Blue Bus Tour,,,Kochi (Cochin),Kochi (Cochin)
AC20082,Blue Bus Tour [A DKC Experience],,,Kochi (Cochin),Kochi (Cochin)
AC20083,Sightseen of Kumbhalgarh by Jeep,9.4,Adventure,Kumbhalgarh,Kumbhalgarh
AC20085,Koftgiri,8.9,Experiential,Udaipur (RJ),Udaipur (RJ)
AC20086,Bekal Beckons,,,Bekal,Bekal
AC20087,Anglo Indian Cooking Demo with Dinner,,,Kochi (Cochin),Kochi (Cochin)
AC20087,Anglo Indian Cooking Demo With Dinner [A DKC Experience],,,Kochi (Cochin),Kochi (Cochin)
AC20087,Anglo Indian Cooking Demo With Dinner at Jeanette Dale [A DKC Experience],,,Kochi (Cochin),Kochi (Cochin)
AC20088,Sightseen of Chittorgarh by Auto Rickshaw,8.6,Experiential,Chittorgarh,Chittorgarh
AC20089,Auto Rickshaw Transfer,9.3,Experiential,Udaipur (RJ),Udaipur (RJ)
AC20090,Discover the Ancient Landscape of Muzuris with Lunch,,,Kochi (Cochin),Kochi (Cochin)
AC20090,Discover The Ancient Landscape Of Muzuris With Lunch [A DKC Experience],,,Kochi (Cochin),Kochi (Cochin)
AC20091,Explore the Quaint Village of Samal,8.9,Experiential,Udaipur (RJ),Udaipur (RJ)
AC20092,Cultural Kochi By Cycle,,,Kochi (Cochin),Kochi (Cochin)
AC20092,Cultural Kochi By Cycle [A DKC Experience],,,Kochi (Cochin),Kochi (Cochin)
AC20093,Cultural Kochi by Tuk-Tuk,,,Kochi (Cochin),Kochi (Cochin)
AC20093,Cultural Kochi By Tuk-Tuk [A DKC Experience],,,Kochi (Cochin),Kochi (Cochin)
AC20094,Calicut Mangrove Trail,,,Kozhikode (Calicut),Kozhikode (Calicut)
AC20095,Chiradukal,,,Kochi (Cochin),Kochi (Cochin)
AC20096,Fraternal Kitchen,,,Kochi (Cochin),Kochi (Cochin)
AC20096,Fraternal Kitchen [A DKC Experience],,,Kochi (Cochin),Kochi (Cochin)
AC20097,Thattekkad Bird Sanctuary -Guided Excursion,,,Thattekkad,Thattekkad
AC20098,Colonial Memoirs of Calicut,,,Kozhikode (Calicut),Kozhikode (Calicut)
AC20099,Fraternal Cochin,,,Kochi (Cochin),Kochi (Cochin)
AC20100,Common Boat Ride at Periyar Lake,,,Thekkady (Periyar/Kumily),Thekkady (Periyar/Kumily)
AC20101,Periyar Bouquet by Cycle,,,Thekkady (Periyar/Kumily),Thekkady (Periyar/Kumily)
AC20101,Periyar Bouquet By Cycle [A DKC Experience],,,Thekkady (Periyar/Kumily),Thekkady (Periyar/Kumily)
AC20102,Jungle Trek ( Nature Walk) at Periyar,,,Thekkady (Periyar/Kumily),Thekkady (Periyar/Kumily)
AC20103,Spice Plantation Tour at Thekkady,,,Thekkady (Periyar/Kumily),Thekkady (Periyar/Kumily)
AC20104,Periyar Bouquet by Jeep,,,Thekkady (Periyar/Kumily),Thekkady (Periyar/Kumily)
AC20104,Periyar Bouquet By Jeep [A DKC Experience],,,Thekkady (Periyar/Kumily),Thekkady (Periyar/Kumily)
AC20105,Calicut heritage trail with lunch,,,Kozhikode (Calicut),Kozhikode (Calicut)
AC20106,Spice and Other Stories by Cycle,,,Thekkady (Periyar/Kumily),Thekkady (Periyar/Kumily)
AC20106,Spice And Other Stories By Cycle [A DKC Experience],,,Thekkady (Periyar/Kumily),Thekkady (Periyar/Kumily)
AC20107,Spice and Other Stories by Jeep,,,Thekkady (Periyar/Kumily),Thekkady (Periyar/Kumily)
AC20107,Spice And Other Stories By Jeep [A DKC Experience],,,Thekkady (Periyar/Kumily),Thekkady (Periyar/Kumily)
AC20108,Valley Zest by Cycle without Lunch - Half Day,,,Thekkady (Periyar/Kumily),Thekkady (Periyar/Kumily)
AC20108,Valley Zest By Cycle Without Lunch - Half Day [A DKC Experience],,,Thekkady (Periyar/Kumily),Thekkady (Periyar/Kumily)
AC20109,Valley Zest by Cycle  with Lunch - Full Day,,,Thekkady (Periyar/Kumily),Thekkady (Periyar/Kumily)
AC20109,Valley Zest By Cycle  With Lunch - Full Day [A DKC Experience],,,Thekkady (Periyar/Kumily),Thekkady (Periyar/Kumily)
AC20110,Elephant and the City,7.4,Wildlife,Thiruvananthapuram (Trivandrum),Thiruvananthapuram (Trivandrum)
AC20110,Elephant and the City,8.8,Heritage,Thiruvananthapuram (Trivandrum),Thiruvananthapuram (Trivandrum)
AC20111,Kalaripayattu at Thekkady,,,Thekkady (Periyar/Kumily),Thekkady (Periyar/Kumily)
AC20112,Walking Around the Oberoi Grand,,,Kolkata,Kolkata
AC20113,Mullick Ghat Flower Market,8.8,Experiential,Kolkata,Kolkata
AC20113,Mullick Ghat Flower Market [A DKC Experience],8.8,Experiential,Kolkata,Kolkata
AC20114,Renaissance Walk,9.1,Heritage,Kolkata,Kolkata
AC20114,Renaissance Walk [A DKC Experience],9.1,Heritage,Kolkata,Kolkata
AC20115,Kolkata Food Walk,9.0,Food,Kolkata,Kolkata
AC20115,Kolkata Food Walk [A DKC Experience],9.0,Food,Kolkata,Kolkata
AC20116,Spice Plantation Tour with Lunch at Thekkady,,,Thekkady (Periyar/Kumily),Thekkady (Periyar/Kumily)
AC20117,Tribal Dance at Thekkady,,,Thekkady (Periyar/Kumily),Thekkady (Periyar/Kumily)
AC20118,Tea Trail at Thekkady,,,Thekkady (Periyar/Kumily),Thekkady (Periyar/Kumily)
AC20121,Kathakali at Thekkady,,,Thekkady (Periyar/Kumily),Thekkady (Periyar/Kumily)
AC20122,Indian Movie Time,1.0,Experiential,Madurai,Madurai
AC20123,Village Rubble by Cycle with Lunch - Full Day,,,Chellanam,Chellanam
AC20123,Village Rubble By Cycle With Lunch - Full Day [A DKC Experience],,,Chellanam,Chellanam
AC20124,Village Rubble by Cycle without Lunch - Half Day,,,Chellanam,Chellanam
AC20124,Village Rubble By Cycle Without Lunch - Half Day [A DKC Experience],,,Chellanam,Chellanam
AC20125,Village Rubble by Tuk Tuk With Lunch - Full Day,,,Chellanam,Chellanam
AC20125,Village Rubble By Tuk Tuk With Lunch - Full Day [A DKC Experience],,,Chellanam,Chellanam
AC20126,"Market walk, Cooking demo & Meal",9.1,Food,Kolkata,Kolkata
AC20126,"Market Walk, Cooking Demo & Meal",9.1,Food,Kolkata,Kolkata
AC20127,Chandni Chowk by Night,8.2,Experiential,New Delhi,New Delhi
AC20127,Chandni Chowk By Night [A DKC Experience],8.2,Experiential,New Delhi,New Delhi
AC20128,Kabootar Baazi – Pigeon Flying,9.1,Experiential,New Delhi,New Delhi
AC20128,Kabootar Baazi – Pigeon Flying [A DKC Experience],9.1,Experiential,New Delhi,New Delhi
AC20129,An introduction to Indian Classical Music,9.2,Experiential,Udaipur (RJ),Udaipur (RJ)
AC20130,Udaipur by Cycle,8.8,Experiential,Udaipur (RJ),Udaipur (RJ)
AC20130,Udaipur By Cycle [A DKC Experience],8.8,Experiential,Udaipur (RJ),Udaipur (RJ)
AC20131,Meet the Industrious Banjara Women at Kushala Kala Kendra,9.1,Experiential,Sandur,Sandur
AC20131,Meet The Industrious Banjara Women At Kushala Kala Kendra [A DKC Experience],9.1,Experiential,Sandur,Sandur
AC20132,"Sufism, the Heart of Islam",,,New Delhi,New Delhi
AC20132,"Sufism, The Heart Of Islam [A DKC Experience]",,,New Delhi,New Delhi
AC20133,Common Bamboo Rafting & Trekking at Thekkady ( Full Day),,,Thekkady (Periyar/Kumily),Thekkady (Periyar/Kumily)
AC20134,Village Rubble by Tuk Tuk Without Lunch - Half Day,,,Chellanam,Chellanam
AC20134,Village Rubble By Tuk Tuk Without Lunch - Half Day [A DKC Experience],,,Chellanam,Chellanam
AC20135,Demystifying Kathakali,,,Kochi (Cochin),Kochi (Cochin)
AC20135,Demystifying Kathakali [A DKC Experience],,,Kochi (Cochin),Kochi (Cochin)
AC20136,Rediscover Kerala’s Backwaters with Lunch,,,Alappuzha (Alleppey),Alappuzha (Alleppey)
AC20137,Rediscover Kerala’s Backwaters without Lunch,,,Alappuzha (Alleppey),Alappuzha (Alleppey)
AC20137,Rediscover Kerala’s Backwaters Without Lunch [A DKC Experience],,,Alappuzha (Alleppey),Alappuzha (Alleppey)
AC20140,Cookery Demo with Lunch at Nimmy Paul's Residence,,,Kochi (Cochin),Kochi (Cochin)
AC20140,Cookery Demo with Lunch at Nimmy Paul's Residency,,,Kochi (Cochin),Kochi (Cochin)
AC20141,Cookery Demo with Dinner at Francis Residence,,,Kochi (Cochin),Kochi (Cochin)
AC20142,Cookery Demo with Lunch at Francis Residence,,,Kochi (Cochin),Kochi (Cochin)
AC20143,Morning in Hauz Khas,8.1,Experiential,New Delhi,New Delhi
AC20143,Morning In Hauz Khas [A DKC Experience],8.1,Experiential,New Delhi,New Delhi
AC20144,Cooking Demo with Dinner at Padua House,,,Kochi (Cochin),Kochi (Cochin)
AC20145,Cooking demo with Lunch at Padua House,,,Kochi (Cochin),Kochi (Cochin)
AC20147,Kalaripayattu Show,,,Kochi (Cochin),Kochi (Cochin)
AC20148,Kathakali Dance Show,,,Kochi (Cochin),Kochi (Cochin)
AC20150,South Indian Cooking Demo & Dinner With Local Family,8.0,Experiential,Madurai,Madurai
AC20150,South Indian Cooking Demo & Dinner With Local Family,8.0,Food,Madurai,Madurai
AC20151,Golf Cart Ride at City Palace,6.5,Experiential,Udaipur (RJ),Udaipur (RJ)
AC20152,Sunset Cruise at Poovar Backwaters,,,Poovar,Poovar
AC20153,Kumbalanghi Village Visit with Lunch,,,Kochi (Cochin),Kochi (Cochin)
AC20154,Kumbalanghi Village Visit without Lunch,,,Kochi (Cochin),Kochi (Cochin)
AC20155,Harbour Backwater Sightseeing by Motorboat (3 hrs),,,Kochi (Cochin),Kochi (Cochin)
AC20156,Motorboat Harbour/Sunset Cruise in Cochin (2 hrs),,,Kochi (Cochin),Kochi (Cochin)
AC20158,Yoga Session,5.2,Wellness,Jaipur,Jaipur
AC20159,Village Tour,8.5,Experiential,Thiruvananthapuram (Trivandrum),Thiruvananthapuram (Trivandrum)
AC20160,Bharatanatyam Dance Performance,7.7,Experiential,Thanjavur (Tanjore),Thanjavur (Tanjore)
AC20161,Philipkutty Farm visit with Cookery Demo & Lunch,,,Kumarakom,Kumarakom
AC20162,Village Tour,9.2,Experiential,Amritsar,Amritsar
AC20163,Philipkutty Farm visit with Lunch,,,Kumarakom,Kumarakom
AC20164,Common Bamboo Rafting & Trekking at Thekkady (Half Day),,,Thekkady (Periyar/Kumily),Thekkady (Periyar/Kumily)
AC20165,Herman Trail Thalassery,,,Thalassery (Telicherry),Thalassery (Telicherry)
AC20166,Pugmark Trail at Thekkady,,,Thekkady (Periyar/Kumily),Thekkady (Periyar/Kumily)
AC20167,Chellarkovil Mountain Jeep Safari,,,Thekkady (Periyar/Kumily),Thekkady (Periyar/Kumily)
AC20168,Lower Camp Jeep Safari at Thekkady,,,Thekkady (Periyar/Kumily),Thekkady (Periyar/Kumily)
AC20169,Nileshwar Nature Trove,,,Neeleshwar,Neeleshwar
AC20170,Ocean Kayaking,,,Kannur (Cannanore),Kannur (Cannanore)
AC20171,Sathram Jeep Safari at Thekkady,,,Thekkady (Periyar/Kumily),Thekkady (Periyar/Kumily)
AC20172,Potter's Trail,8.0,Experiential,Madurai,Madurai
AC20172,Potter's Trail,8.0,Heritage,Madurai,Madurai
AC20173,Hiking Tour of Morwaniya Village,8.8,Adventure,Udaipur (RJ),Udaipur (RJ)
AC20173,Hiking Tour of Morwaniya Village,9.2,Experiential,Udaipur (RJ),Udaipur (RJ)
AC20174,Theyyam The Divine Dance,8.9,Experiential,Neeleshwar,Neeleshwar
AC20174,Theyyam The Divine Dance [A DKC Experience],8.9,Experiential,Neeleshwar,Neeleshwar
AC20175,Walking Tour Of Amritsar,9.1,Heritage,Amritsar,Amritsar
AC20175,Walking Tour Of Amritsar [A DKC Experience],9.1,Heritage,Amritsar,Amritsar
AC20176,Bollywood Tour with Lunch,8.3,Experiential,Mumbai,Mumbai
AC20176,Bollywood Tour with Lunch,,,Mumbai,Mumbai
AC20177,Ethnic Banana Leaf Lunch at Village Home,8.0,Experiential,Batlagundu (Vathalagundu),Batlagundu (Vathalagundu)
AC20177,Ethnic Banana Leaf Lunch at Village Home,8.0,Food,Batlagundu (Vathalagundu),Batlagundu (Vathalagundu)
AC20177,Ethnic Banana Leaf Lunch at Village Home,8.0,Heritage,Batlagundu (Vathalagundu),Batlagundu (Vathalagundu)
AC20178,Bollywood Tour Private 2 Without Lunch,,,Mumbai,Mumbai
AC20179,Bollywood Tour Private 2 With Lunch,,,Mumbai,Mumbai
AC20180,Cooking Lesson at Dakshu's Place,9.2,Food,Udaipur (RJ),Udaipur (RJ)
AC20180,Cooking Lesson At Dakshu's Place [A DKC Experience],9.2,Food,Udaipur (RJ),Udaipur (RJ)
AC20182,Reflections of Mahe,,,Thalassery (Telicherry),Thalassery (Telicherry)
AC20183,Lunch with the Local Family,8.8,Experiential,Mysuru (Mysore),Mysuru (Mysore)
AC20183,Lunch with the Local Family,9.2,Food,Mysuru (Mysore),Mysuru (Mysore)
AC20184,Dharavi Slum Tour,8.1,Experiential,Mumbai,Mumbai
AC20185,Bani's Village Bicycle Tour,7.5,Modern,Mamallapuram (Mahabalipuram),Mamallapuram (Mahabalipuram)
AC20185,Bani's Village Bicycle Tour,8.5,Experiential,Mamallapuram (Mahabalipuram),Mamallapuram (Mahabalipuram)
AC20185,Bani's Village Bicycle Tour,9.5,Adventure,Mamallapuram (Mahabalipuram),Mamallapuram (Mahabalipuram)
AC20186,Jungle Book Tour at Neyyar Wildlife Sanctuary,8.9,Adventure,Thiruvananthapuram (Trivandrum),Thiruvananthapuram (Trivandrum)
AC20186,Jungle Book Tour at Neyyar Wildlife Sanctuary,8.9,Wildlife,Thiruvananthapuram (Trivandrum),Thiruvananthapuram (Trivandrum)
AC20187,Chettinadu Heritage Mansion & Athangudi Tile Unit,8.0,Experiential,Chettinadu,Chettinadu
AC20187,Chettinadu Heritage Mansion & Athangudi Tile Unit,8.0,Heritage,Chettinadu,Chettinadu
AC20188,Kollywood Tour,8.0,Experiential,Chennai,Chennai
AC20188,Kollywood Tour,9.0,Modern,Chennai,Chennai
AC20190,Golden Hills - Ponmudi Excursion,8.7,Nature,Thiruvananthapuram (Trivandrum),Thiruvananthapuram (Trivandrum)
AC20191,Explore Trivandrum Sights and Markets with Lunch,8.8,Experiential,Thiruvananthapuram (Trivandrum),Thiruvananthapuram (Trivandrum)
AC20191,Explore Trivandrum Sights and Markets with Lunch,8.8,Heritage,Thiruvananthapuram (Trivandrum),Thiruvananthapuram (Trivandrum)
AC20192,Munroe Magic,8.8,Nature,Kollam (Quilon),Kollam (Quilon)
AC20193,Land's End - A Trip to Cape Comorin,8.8,Heritage,Kanyakumari,Kanyakumari
AC20194,Cooking Demo and Lunch with Meena Hanif,9.2,Food,Thiruvananthapuram (Trivandrum),Thiruvananthapuram (Trivandrum)
AC20196,The Biryani Love at Thalassery,,,Thalassery (Telicherry),Thalassery (Telicherry)
AC20197,Tale of Two Cities Thalassery & Mahe,,,Thalassery (Telicherry),Thalassery (Telicherry)
AC20198,Heritage Walk,9.0,Heritage,Mysuru (Mysore),Mysuru (Mysore)
AC20199,Confluence of Culture Walk (Private Walks),9.0,Heritage,Kolkata,Kolkata
AC20199,Confluence Of Culture Walk (Private Walks) [A DKC Experience],9.0,Heritage,Kolkata,Kolkata
AC20200,Walking Tours - Dalhousie Square on Foot (Private Walk),8.5,Heritage,Kolkata,Kolkata
AC20202,Now that's entertainment - Park Street,8.7,Modern,Kolkata,Kolkata
AC20203,Letchmi (Lakshmi) Hills Trek - Half day,,,Munnar,Munnar
AC20204,Letchmi (Lakshmi) Hills Trek - Full day,,,Munnar,Munnar
AC20205,Kolukkumalai Jeep Safari,,,Munnar,Munnar
AC20206,Lockhart Tea Trail (4 Hrs),,,Munnar,Munnar
AC20207,Top Valley Trek with Jeep - Half day,,,Munnar,Munnar
AC20208,Top Valley Trek without Jeep - Half day,,,Munnar,Munnar
AC20209,Wine Tour at Domaine Sula Winery (Shared Tour),,,Channapatna,Channapatna
AC20211,Tale of Two Cities Thalassery & Mahe with Biriyani making,9.0,Experiential,Thalassery (Telicherry),Thalassery (Telicherry)
AC20211,Tale of Two Cities Thalassery & Mahe with Biriyani making,9.0,Food,Thalassery (Telicherry),Thalassery (Telicherry)
AC20212,Dinner with the Local Family,9.2,Food,Mysuru (Mysore),Mysuru (Mysore)
AC20213,Cook with Shashikala,9.3,Food,Mysuru (Mysore),Mysuru (Mysore)
AC20214,Lockhart Jeep Tour,,,Munnar,Munnar
AC20215,Elephanta Launch Ticket (Compuslory For Accompanying Guide),7.6,Experiential,Mumbai,Mumbai
AC20215,Elephanta Launch Ticket(Shared Boat),7.6,Experiential,Mumbai,Mumbai
AC20216,Lockhart Tea trail with Jeep (4 hours),,,Munnar,Munnar
AC20216,Lockhart Tea Trail With Jeep (4 Hours),,,Munnar,Munnar
AC20217,MTB Cycle Tour,9.4,Adventure,Udaipur (RJ),Udaipur (RJ)
AC20218,Lockhart Tea Trail with Tea Tasting,,,Munnar,Munnar
AC20219,Meesapulimalai Trek with Jeep (Full day),,,Munnar,Munnar
AC20220,Elephanta Exclusive Chartered Launch,8.2,Experiential,Mumbai,Mumbai
