city,region,min_nights,max_nights,type,notes
Tawang,Arunachal Pradesh,2,3,stay-put,Remote; acclimatisation
Dirang,Arunachal Pradesh,1,2,touring,
Kochi (Cochin),Kerala,1,2,touring,
Munnar,Kerala,2,3,stay-put,Tea country â€” leisure pace
Thekkady (Periyar/Kumily),Kerala,2,3,stay-put,
Alappuzha (Alleppey),Kerala,1,2,touring,Houseboat typically 1 night on water
Kumarakom,Kerala,2,3,stay-put,
Kovalam,Kerala,2,5,stay-put,Beach â€” length by client
Varkala,Kerala,2,5,stay-put,
Wayanad,Kerala,2,3,stay-put,
Trivandrum,Kerala,1,2,touring,
Chennai,Tamil Nadu,1,2,touring,
Mamallapuram,Tamil Nadu,1,2,touring,
Puducherry (Pondicherry),Tamil Nadu,2,3,stay-put,
Thanjavur (Tanjore),Tamil Nadu,1,2,touring,
Madurai,Tamil Nadu,2,3,touring,
Ooty (Udhagamandalam),Tamil Nadu,2,3,stay-put,Hill station
Coonoor,Tamil Nadu,1,2,stay-put,
Rameswaram,Tamil Nadu,1,2,touring,
Kanyakumari,Tamil Nadu,1,2,touring,
Chidambaram,Tamil Nadu,1,1,touring,Usually en route
Kumbakonam,Tamil Nadu,1,2,touring,
Bengaluru,Karnataka,1,2,touring,Usually arrival/departure city
Mysuru (Mysore),Karnataka,2,3,touring,
Hampi (Hosapete),Karnataka,2,3,touring,
Badami,Karnataka,1,2,touring,
Coorg,Karnataka,2,3,stay-put,
Kabini,Karnataka,2,3,wildlife,
Nagarhole,Karnataka,2,3,wildlife,
Hyderabad,Telangana,2,3,touring,
Andaman Islands,Andaman & Nicobar,4,8,stay-put,Island leisure; flight dependent
